,File,NCR,ED,ET,WT,ED/WT,ET/WT,TC/WT
33,BraTS-GoAT-00172.nii.gz,0,0,5195,5195,0,1,1
46,BraTS-GoAT-00725.nii.gz,0,0,588,588,0,1,1
52,BraTS-GoAT-00448.nii.gz,0,0,137,137,0,1,1
294,BraTS-GoAT-02258.nii.gz,0,0,423,423,0,1,1
359,BraTS-GoAT-02428.nii.gz,0,0,527,527,0,1,1
468,BraTS-GoAT-00495.nii.gz,0,0,1932,1932,0,1,1
536,BraTS-GoAT-01141.nii.gz,0,0,314,314,0,1,1
549,BraTS-GoAT-00344.nii.gz,0,0,143,143,0,1,1
576,BraTS-GoAT-01862.nii.gz,0,0,1042,1042,0,1,1
648,BraTS-GoAT-00026.nii.gz,0,0,185,185,0,1,1
676,BraTS-GoAT-02023.nii.gz,0,0,5003,5003,0,1,1
688,BraTS-GoAT-01470.nii.gz,0,0,7871,7871,0,1,1
787,BraTS-GoAT-02109.nii.gz,0,0,810,810,0,1,1
987,BraTS-GoAT-00574.nii.gz,0,0,2144,2144,0,1,1
1025,BraTS-GoAT-00600.nii.gz,0,0,139,139,0,1,1
1056,BraTS-GoAT-01102.nii.gz,0,0,284,284,0,1,1
1066,BraTS-GoAT-02062.nii.gz,0,0,3844,3844,0,1,1
1076,BraTS-GoAT-00943.nii.gz,0,0,1284,1284,0,1,1
1127,BraTS-GoAT-00497.nii.gz,0,0,1820,1820,0,1,1
1135,BraTS-GoAT-02445.nii.gz,0,0,3703,3703,0,1,1
1150,BraTS-GoAT-01080.nii.gz,0,0,1167,1167,0,1,1
1187,BraTS-GoAT-01793.nii.gz,0,0,17109,17109,0,1,1
1206,BraTS-GoAT-01126.nii.gz,0,0,216,216,0,1,1
280,BraTS-GoAT-00406.nii.gz,9,0,1053,1062,0,0.991525424,1
1214,BraTS-GoAT-00647.nii.gz,3949,0,79256,83205,0,0.95253891,1
622,BraTS-GoAT-00730.nii.gz,4,0,40,44,0,0.909090909,1
862,BraTS-GoAT-00224.nii.gz,613,0,2205,2818,0,0.782469837,1
492,BraTS-GoAT-00667.nii.gz,6907,0,23417,30324,0,0.772226619,1
951,BraTS-GoAT-02453.nii.gz,3555,0,11681,15236,0,0.766671042,1
1023,BraTS-GoAT-02429.nii.gz,628,0,1954,2582,0,0.756777692,1
1087,BraTS-GoAT-00782.nii.gz,5532,0,15845,21377,0,0.741217196,1
1104,BraTS-GoAT-02070.nii.gz,247,0,666,913,0,0.729463308,1
110,BraTS-GoAT-00587.nii.gz,371,0,770,1141,0,0.674846626,1
1046,BraTS-GoAT-02368.nii.gz,2295,0,4753,7048,0,0.674375709,1
1021,BraTS-GoAT-01297.nii.gz,9711,0,13674,23385,0,0.584733804,1
1146,BraTS-GoAT-01460.nii.gz,13656,0,18679,32335,0,0.577671254,1
1040,BraTS-GoAT-01275.nii.gz,611,0,803,1414,0,0.567892504,1
1318,BraTS-GoAT-00411.nii.gz,23528,0,26777,50305,0,0.532293013,1
128,BraTS-GoAT-01978.nii.gz,16023,0,16075,32098,0,0.500810019,1
531,BraTS-GoAT-02300.nii.gz,43545,0,38538,82083,0,0.469500384,1
65,BraTS-GoAT-02262.nii.gz,3532,0,2988,6520,0,0.458282209,1
945,BraTS-GoAT-01840.nii.gz,265,0,205,470,0,0.436170213,1
500,BraTS-GoAT-01973.nii.gz,35725,0,27216,62941,0,0.432404951,1
7,BraTS-GoAT-00909.nii.gz,195,0,132,327,0,0.403669725,1
1317,BraTS-GoAT-00679.nii.gz,237,0,128,365,0,0.350684932,1
962,BraTS-GoAT-02417.nii.gz,4582,0,2298,6880,0,0.334011628,1
461,BraTS-GoAT-00848.nii.gz,591,0,295,886,0,0.332957111,1
72,BraTS-GoAT-02094.nii.gz,76476,0,37873,114349,0,0.331205345,1
150,BraTS-GoAT-01795.nii.gz,7830,0,3649,11479,0,0.317884833,1
859,BraTS-GoAT-01230.nii.gz,33348,0,12719,46067,0,0.276097857,1
334,BraTS-GoAT-00371.nii.gz,17214,0,5973,23187,0,0.257601242,1
1316,BraTS-GoAT-00500.nii.gz,23439,0,7733,31172,0,0.248075196,1
28,BraTS-GoAT-01523.nii.gz,14488,0,4771,19259,0,0.247728335,1
106,BraTS-GoAT-01372.nii.gz,63146,0,19850,82996,0,0.239168153,1
799,BraTS-GoAT-02266.nii.gz,9424,0,2205,11629,0,0.189612176,1
275,BraTS-GoAT-02015.nii.gz,6275,0,1238,7513,0,0.164781046,1
995,BraTS-GoAT-02236.nii.gz,13025,0,2501,15526,0,0.161084632,1
1134,BraTS-GoAT-01599.nii.gz,30223,0,5503,35726,0,0.154033477,1
1012,BraTS-GoAT-00881.nii.gz,23043,0,3792,26835,0,0.141307993,1
1208,BraTS-GoAT-02132.nii.gz,10246,0,1550,11796,0,0.131400475,1
458,BraTS-GoAT-01456.nii.gz,74307,0,11075,85382,0,0.12971118,1
1001,BraTS-GoAT-01242.nii.gz,14732,0,2144,16876,0,0.127044323,1
867,BraTS-GoAT-02299.nii.gz,20404,0,2925,23329,0,0.125380428,1
1249,BraTS-GoAT-00990.nii.gz,12134,0,1652,13786,0,0.119831713,1
1179,BraTS-GoAT-00683.nii.gz,3469,0,458,3927,0,0.11662847,1
168,BraTS-GoAT-01053.nii.gz,20327,0,2523,22850,0,0.110415755,1
818,BraTS-GoAT-02045.nii.gz,8443,0,984,9427,0,0.104381033,1
836,BraTS-GoAT-00177.nii.gz,43843,0,4855,48698,0,0.099696086,1
813,BraTS-GoAT-01535.nii.gz,24907,0,2718,27625,0,0.09838914,1
37,BraTS-GoAT-00745.nii.gz,7389,0,678,8067,0,0.084046114,1
731,BraTS-GoAT-01759.nii.gz,27554,0,2206,29760,0,0.074126344,1
712,BraTS-GoAT-01990.nii.gz,130625,0,10085,140710,0,0.071672234,1
388,BraTS-GoAT-01936.nii.gz,27508,0,2055,29563,0,0.069512566,1
1173,BraTS-GoAT-01734.nii.gz,36940,0,2517,39457,0,0.063790962,1
835,BraTS-GoAT-01820.nii.gz,109102,0,5926,115028,0,0.051517891,1
1169,BraTS-GoAT-02107.nii.gz,29934,0,1608,31542,0,0.050979646,1
420,BraTS-GoAT-01561.nii.gz,25989,0,1102,27091,0,0.040677716,1
548,BraTS-GoAT-01265.nii.gz,82870,0,2957,85827,0,0.034453028,1
1048,BraTS-GoAT-00162.nii.gz,5339,0,184,5523,0,0.033315227,1
1207,BraTS-GoAT-00263.nii.gz,24989,0,820,25809,0,0.031771863,1
993,BraTS-GoAT-01596.nii.gz,279740,0,9118,288858,0,0.031565683,1
1235,BraTS-GoAT-00494.nii.gz,52756,0,1694,54450,0,0.031111111,1
1217,BraTS-GoAT-00836.nii.gz,50503,0,1284,51787,0,0.024793867,1
1050,BraTS-GoAT-00444.nii.gz,159990,0,3820,163810,0,0.0233197,1
685,BraTS-GoAT-02181.nii.gz,22555,0,536,23091,0,0.023212507,1
1243,BraTS-GoAT-02088.nii.gz,23459,0,333,23792,0,0.013996301,1
554,BraTS-GoAT-00111.nii.gz,12329,0,157,12486,0,0.012574083,1
805,BraTS-GoAT-02081.nii.gz,59324,0,600,59924,0,0.010012683,1
1343,BraTS-GoAT-00090.nii.gz,189048,0,159,189207,0,0.000840349,1
923,BraTS-GoAT-02184.nii.gz,50924,0,22,50946,0,0.00043183,1
162,BraTS-GoAT-01059.nii.gz,105314,0,0,105314,0,0,1
376,BraTS-GoAT-01926.nii.gz,18958,0,0,18958,0,0,1
508,BraTS-GoAT-00042.nii.gz,33560,0,0,33560,0,0,1
930,BraTS-GoAT-00222.nii.gz,66343,0,0,66343,0,0,1
1061,BraTS-GoAT-00393.nii.gz,7089,0,0,7089,0,0,1
1263,BraTS-GoAT-01959.nii.gz,25783,0,0,25783,0,0,1
236,BraTS-GoAT-00511.nii.gz,95394,1,28572,123967,8.07E-06,0.230480692,0.999991933
272,BraTS-GoAT-00701.nii.gz,23787,1,1988,25776,3.88E-05,0.077126009,0.999961204
291,BraTS-GoAT-01499.nii.gz,144840,8,16834,161682,4.95E-05,0.10411796,0.99995052
941,BraTS-GoAT-02202.nii.gz,35799,2,2557,38358,5.21E-05,0.066661453,0.99994786
1102,BraTS-GoAT-01294.nii.gz,107220,6,6630,113856,5.27E-05,0.05823145,0.999947302
1236,BraTS-GoAT-02028.nii.gz,7739,1,3040,10780,9.28E-05,0.282003711,0.999907236
943,BraTS-GoAT-01656.nii.gz,12889,4,18909,31802,0.000125778,0.594585246,0.999874222
335,BraTS-GoAT-02080.nii.gz,63674,11,15769,79454,0.000138445,0.198467038,0.999861555
1296,BraTS-GoAT-01881.nii.gz,151302,23,12243,163568,0.000140614,0.074849604,0.999859386
278,BraTS-GoAT-02056.nii.gz,60815,16,9353,70184,0.000227972,0.133263992,0.999772028
456,BraTS-GoAT-02464.nii.gz,17194,5,3205,20404,0.00024505,0.157077044,0.99975495
