,file,ED,ET,WT
0,BraTS-GoAT-02751.nii.gz,106678,43486,175997
0,BraTS-GoAT-02552.nii.gz,63268,23970,100715
0,BraTS-GoAT-02695.nii.gz,22698,5247,29659
0,BraTS-GoAT-02567.nii.gz,19493,38724,107025
0,BraTS-GoAT-02911.nii.gz,32407,13834,47757
0,BraTS-GoAT-02825.nii.gz,24973,20600,59951
0,BraTS-GoAT-02654.nii.gz,11542,1385,12927
0,BraTS-GoAT-02528.nii.gz,26434,6828,34988
0,BraTS-GoAT-02755.nii.gz,35431,0,59517
0,BraTS-GoAT-02830.nii.gz,3522,5549,9188
0,BraTS-GoAT-02688.nii.gz,143055,58436,222024
0,BraTS-GoAT-02778.nii.gz,15258,558,15816
0,BraTS-GoAT-02670.nii.gz,33548,355,33939
0,BraTS-GoAT-02839.nii.gz,78122,72788,175387
0,BraTS-GoAT-02710.nii.gz,47056,83315,130407
0,BraTS-GoAT-02605.nii.gz,43893,4626,53786
0,BraTS-GoAT-02811.nii.gz,101284,25944,144153
0,BraTS-GoAT-02756.nii.gz,62872,26992,99030
0,BraTS-GoAT-02833.nii.gz,10065,0,20341
0,BraTS-GoAT-02711.nii.gz,5123,25920,31136
0,BraTS-GoAT-02550.nii.gz,21993,14801,39608
0,BraTS-GoAT-02581.nii.gz,20615,79930,138456
0,BraTS-GoAT-02745.nii.gz,45279,1288,50266
0,BraTS-GoAT-02505.nii.gz,51704,11144,63087
0,BraTS-GoAT-02775.nii.gz,168986,49222,223393
0,BraTS-GoAT-02602.nii.gz,146842,23892,182364
0,BraTS-GoAT-02769.nii.gz,39743,12923,53843
0,BraTS-GoAT-02716.nii.gz,26345,21867,54124
0,BraTS-GoAT-02809.nii.gz,49753,719,67377
0,BraTS-GoAT-02735.nii.gz,16901,48407,70779
0,BraTS-GoAT-02795.nii.gz,20328,632,20969
0,BraTS-GoAT-02805.nii.gz,119,2359,2947
0,BraTS-GoAT-02808.nii.gz,0,0,0
0,BraTS-GoAT-02544.nii.gz,31029,21360,58795
0,BraTS-GoAT-02612.nii.gz,34395,0,45847
0,BraTS-GoAT-02667.nii.gz,5020,3352,10176
0,BraTS-GoAT-02708.nii.gz,43032,457,43489
0,BraTS-GoAT-02743.nii.gz,37658,25555,70956
0,BraTS-GoAT-02492.nii.gz,48592,75720,140176
0,BraTS-GoAT-02690.nii.gz,0,0,0
0,BraTS-GoAT-02732.nii.gz,3551,7775,11346
0,BraTS-GoAT-02543.nii.gz,32566,441,39250
0,BraTS-GoAT-02851.nii.gz,30858,37204,82028
0,BraTS-GoAT-02836.nii.gz,130504,28766,174518
0,BraTS-GoAT-02770.nii.gz,146801,85608,244162
0,BraTS-GoAT-02925.nii.gz,57804,0,58413
0,BraTS-GoAT-02773.nii.gz,209900,14691,228688
0,BraTS-GoAT-02895.nii.gz,129056,56491,186296
0,BraTS-GoAT-02792.nii.gz,111659,32745,157010
0,BraTS-GoAT-02683.nii.gz,9,2464,2473
0,BraTS-GoAT-02635.nii.gz,6117,19127,25244
0,BraTS-GoAT-02827.nii.gz,898,3041,4079
0,BraTS-GoAT-02782.nii.gz,0,0,0
0,BraTS-GoAT-02522.nii.gz,36502,17667,84443
0,BraTS-GoAT-02715.nii.gz,5,4856,4861
0,BraTS-GoAT-02564.nii.gz,6033,6191,12224
0,BraTS-GoAT-02679.nii.gz,20141,907,48818
0,BraTS-GoAT-02490.nii.gz,11529,13551,31155
0,BraTS-GoAT-02638.nii.gz,440,1709,2149
0,BraTS-GoAT-02826.nii.gz,11748,64051,75940
0,BraTS-GoAT-02831.nii.gz,127408,2151,272067
0,BraTS-GoAT-02803.nii.gz,405,3868,4273
0,BraTS-GoAT-02834.nii.gz,0,0,0
0,BraTS-GoAT-02577.nii.gz,79301,11881,94987
0,BraTS-GoAT-02878.nii.gz,19536,9116,32137
0,BraTS-GoAT-02630.nii.gz,96123,8896,105711
0,BraTS-GoAT-02879.nii.gz,40937,10935,52143
0,BraTS-GoAT-02774.nii.gz,31898,11550,44498
0,BraTS-GoAT-02551.nii.gz,0,1094,1174
0,BraTS-GoAT-02863.nii.gz,0,0,0
0,BraTS-GoAT-02674.nii.gz,222297,35951,258256
0,BraTS-GoAT-02494.nii.gz,700,35352,36070
0,BraTS-GoAT-02520.nii.gz,913,2720,3653
0,BraTS-GoAT-02714.nii.gz,0,0,0
0,BraTS-GoAT-02596.nii.gz,74260,10501,90160
0,BraTS-GoAT-02821.nii.gz,136845,37653,195287
0,BraTS-GoAT-02489.nii.gz,56626,0,110125
0,BraTS-GoAT-02519.nii.gz,88705,16431,107585
0,BraTS-GoAT-02578.nii.gz,106,1164,1270
0,BraTS-GoAT-02908.nii.gz,9908,1126,11157
0,BraTS-GoAT-02768.nii.gz,96413,4518,101561
0,BraTS-GoAT-02719.nii.gz,18110,2879,20989
0,BraTS-GoAT-02652.nii.gz,0,0,0
0,BraTS-GoAT-02727.nii.gz,28364,24275,58784
0,BraTS-GoAT-02657.nii.gz,169027,4313,173669
0,BraTS-GoAT-02617.nii.gz,39018,20457,69162
0,BraTS-GoAT-02891.nii.gz,1359,10538,12033
0,BraTS-GoAT-02842.nii.gz,54029,13442,70919
0,BraTS-GoAT-02801.nii.gz,67015,32182,100865
0,BraTS-GoAT-02647.nii.gz,83206,24368,110008
0,BraTS-GoAT-02649.nii.gz,72344,134549,221473
0,BraTS-GoAT-02910.nii.gz,71069,61396,167933
0,BraTS-GoAT-02753.nii.gz,92375,24263,117288
0,BraTS-GoAT-02697.nii.gz,15774,4212,21719
0,BraTS-GoAT-02765.nii.gz,138791,54100,216570
0,BraTS-GoAT-02495.nii.gz,146481,22501,176132
0,BraTS-GoAT-02785.nii.gz,0,0,0
0,BraTS-GoAT-02772.nii.gz,28073,8628,36725
0,BraTS-GoAT-02642.nii.gz,83107,24295,156937
0,BraTS-GoAT-02749.nii.gz,122680,367,131114
0,BraTS-GoAT-02912.nii.gz,0,0,0
0,BraTS-GoAT-02525.nii.gz,125672,10133,138409
0,BraTS-GoAT-02491.nii.gz,102945,19610,127761
0,BraTS-GoAT-02731.nii.gz,17260,5493,23083
0,BraTS-GoAT-02556.nii.gz,21156,71695,109847
0,BraTS-GoAT-02675.nii.gz,41256,18303,60317
0,BraTS-GoAT-02854.nii.gz,14287,7347,21641
0,BraTS-GoAT-02669.nii.gz,68884,0,135075
0,BraTS-GoAT-02789.nii.gz,117223,83547,201066
0,BraTS-GoAT-02736.nii.gz,16567,3174,19743
0,BraTS-GoAT-02618.nii.gz,7429,7040,14872
0,BraTS-GoAT-02559.nii.gz,66198,25872,106609
0,BraTS-GoAT-02557.nii.gz,7474,2887,10361
0,BraTS-GoAT-02514.nii.gz,24742,24430,52153
0,BraTS-GoAT-02822.nii.gz,79095,22136,101290
0,BraTS-GoAT-02504.nii.gz,39566,38746,100802
0,BraTS-GoAT-02510.nii.gz,158199,4595,164913
0,BraTS-GoAT-02903.nii.gz,12263,12278,24541
0,BraTS-GoAT-02502.nii.gz,91883,7273,99415
0,BraTS-GoAT-02580.nii.gz,26136,17601,54430
0,BraTS-GoAT-02939.nii.gz,465,612,1077
0,BraTS-GoAT-02881.nii.gz,21838,0,26466
0,BraTS-GoAT-02506.nii.gz,54890,0,54890
0,BraTS-GoAT-02526.nii.gz,93942,18737,113633
0,BraTS-GoAT-02571.nii.gz,31445,2252,34233
0,BraTS-GoAT-02673.nii.gz,136789,19967,158754
0,BraTS-GoAT-02781.nii.gz,852,9751,10603
0,BraTS-GoAT-02628.nii.gz,83088,25702,128470
0,BraTS-GoAT-02890.nii.gz,82318,58382,156715
0,BraTS-GoAT-02685.nii.gz,22218,4420,31123
0,BraTS-GoAT-02696.nii.gz,118711,0,132921
0,BraTS-GoAT-02900.nii.gz,63295,53329,135176
0,BraTS-GoAT-02599.nii.gz,68628,35375,104548
0,BraTS-GoAT-02620.nii.gz,5721,0,5721
0,BraTS-GoAT-02707.nii.gz,93733,50835,168329
0,BraTS-GoAT-02615.nii.gz,42107,1815,43934
0,BraTS-GoAT-02869.nii.gz,311,1475,1786
0,BraTS-GoAT-02700.nii.gz,28729,40573,81122
0,BraTS-GoAT-02606.nii.gz,36258,846,37104
0,BraTS-GoAT-02718.nii.gz,108893,11770,133944
0,BraTS-GoAT-02682.nii.gz,3491,6167,9658
0,BraTS-GoAT-02656.nii.gz,41465,39802,83117
0,BraTS-GoAT-02928.nii.gz,2668,0,2668
0,BraTS-GoAT-02889.nii.gz,133493,15392,153410
0,BraTS-GoAT-02660.nii.gz,60940,3415,64489
0,BraTS-GoAT-02838.nii.gz,1793,0,1793
0,BraTS-GoAT-02611.nii.gz,10997,0,30072
0,BraTS-GoAT-02686.nii.gz,25624,26158,59659
0,BraTS-GoAT-02926.nii.gz,103754,26858,144749
0,BraTS-GoAT-02847.nii.gz,211190,25376,236705
0,BraTS-GoAT-02655.nii.gz,73708,41697,158908
0,BraTS-GoAT-02737.nii.gz,103316,11696,119808
0,BraTS-GoAT-02549.nii.gz,118327,1731,120107
0,BraTS-GoAT-02897.nii.gz,0,646,646
0,BraTS-GoAT-02699.nii.gz,92395,540,241459
0,BraTS-GoAT-02784.nii.gz,83032,68485,170790
0,BraTS-GoAT-02712.nii.gz,80874,13376,104704
0,BraTS-GoAT-02877.nii.gz,37055,19007,63305
0,BraTS-GoAT-02930.nii.gz,45759,909,46668
0,BraTS-GoAT-02856.nii.gz,11362,20083,31445
0,BraTS-GoAT-02536.nii.gz,28136,0,80217
0,BraTS-GoAT-02672.nii.gz,27615,0,33879
0,BraTS-GoAT-02927.nii.gz,95664,41288,153072
0,BraTS-GoAT-02515.nii.gz,69541,8575,78705
0,BraTS-GoAT-02905.nii.gz,41200,501,45246
0,BraTS-GoAT-02645.nii.gz,9782,2151,11933
0,BraTS-GoAT-02555.nii.gz,0,0,0
0,BraTS-GoAT-02587.nii.gz,13623,21930,35669
0,BraTS-GoAT-02788.nii.gz,53691,18748,90619
0,BraTS-GoAT-02882.nii.gz,0,0,0
0,BraTS-GoAT-02807.nii.gz,125959,16492,147577
0,BraTS-GoAT-02512.nii.gz,74571,66574,187505
0,BraTS-GoAT-02702.nii.gz,14484,5398,20641
0,BraTS-GoAT-02837.nii.gz,118969,14241,150558
0,BraTS-GoAT-02680.nii.gz,1685,11655,13404
0,BraTS-GoAT-02923.nii.gz,82189,22160,122708
0,BraTS-GoAT-02553.nii.gz,184,9264,9448
0,BraTS-GoAT-02516.nii.gz,686,16180,16868
0,BraTS-GoAT-02570.nii.gz,40187,77210,117397
0,BraTS-GoAT-02860.nii.gz,6235,2585,8820
0,BraTS-GoAT-02752.nii.gz,3573,1874,5447
0,BraTS-GoAT-02866.nii.gz,32753,0,42357
0,BraTS-GoAT-02915.nii.gz,56228,3089,60950
0,BraTS-GoAT-02529.nii.gz,83096,0,252640
0,BraTS-GoAT-02713.nii.gz,7188,766,7975
0,BraTS-GoAT-02499.nii.gz,0,483,483
0,BraTS-GoAT-02791.nii.gz,163826,53513,222299
0,BraTS-GoAT-02523.nii.gz,7609,4663,12903
0,BraTS-GoAT-02538.nii.gz,103057,38123,146941
0,BraTS-GoAT-02913.nii.gz,0,0,0
0,BraTS-GoAT-02815.nii.gz,113626,27719,153014
0,BraTS-GoAT-02853.nii.gz,5336,4333,9983
0,BraTS-GoAT-02740.nii.gz,8545,6970,15589
0,BraTS-GoAT-02501.nii.gz,1568,53682,55368
0,BraTS-GoAT-02914.nii.gz,41130,0,64475
0,BraTS-GoAT-02880.nii.gz,66668,27048,101896
0,BraTS-GoAT-02849.nii.gz,5684,11147,37094
0,BraTS-GoAT-02650.nii.gz,58766,1511,60906
0,BraTS-GoAT-02554.nii.gz,39573,18125,61951
